Id,Name,City,Country,Capacity,BuiltDate,LastRenovation,SurfaceType,Address,Latitude,Longitude,HasRoof,ImageUrl,Description,Facilities,CostMillionsEuros,Nickname,Architect
1,San Mamés,Bilbao,Spain,53289,2013-01-01,2013-01-01,Natural Grass,"Rafael Moreno Pitxitxi Kalea, 1, 48013 Bilbao, Bizkaia, Spain",43.264167,-2.949167,false,,"Modern stadium known as 'The Cathedral' of Athletic Club, rebuilt in 2013 to replace the historic San Mamés. Features state-of-the-art facilities and maintains the passionate atmosphere of Basque football.","[""Museum"", ""VIP Boxes"", ""Heated Pitch"", ""LED Lighting""]",211,The Cathedral,"César Azkarate, Iñaki Aurrekoetxea"
2,Cívitas Metropolitano,Madrid,Spain,70460,2017-01-01,2017-01-01,Natural Grass,"Av. de Luis Aragonés, 4, 28022 Madrid, Spain",40.436111,-3.599444,false,,"Ultra-modern stadium opened in 2017, featuring cutting-edge design and technology. Home to Atlético Madrid with a distinctive red and white exterior matching the club colors.","[""Shopping Center"", ""Museum"", ""VIP Areas"", ""Underground Parking"", ""Hotel""]",310,Wanda Metropolitano,Cruz y Ortiz Arquitectos
3,Spotify Camp Nou,Barcelona,Spain,99354,1957-01-01,2022-01-01,Natural Grass,"C. d'Arístides Maillol, 12, 08028 Barcelona, Spain",41.380833,2.122778,false,,"Iconic stadium and largest in Europe, currently undergoing major renovation. Home to FC Barcelona since 1957, known worldwide as a temple of football with incredible atmosphere.","[""Museum"", ""Megastore"", ""VIP Areas"", ""Press Center"", ""Chapel""]",1500,Camp Nou,"Francesc Mitjans, Lorenzo García-Barbón"
4,Estadio Balaídos,Vigo,Spain,29000,1928-01-01,2017-01-01,Natural Grass,"Rúa de Barcelona, s/n, 36207 Vigo, Pontevedra, Spain",42.213056,-8.738889,false,,"Historic stadium in Vigo, home to RC Celta since 1928. Known for its passionate Galician support and intimate atmosphere despite modest capacity.","[""VIP Boxes"", ""Press Room"", ""Training Facilities""]",15,Balaídos,Manuel del Río
5,Estadio Nuevo Mirandilla,Cádiz,Spain,20724,1955-01-01,2019-01-01,Natural Grass,"Av. de Ramón de Carranza, s/n, 11010 Cádiz, Spain",36.504722,-6.270833,false,,"Coastal stadium in the historic city of Cádiz, recently renovated to meet La Liga standards. Known for its unique location near the sea and passionate local support.","[""VIP Areas"", ""Press Room"", ""Youth Academy Facilities""]",8,Carranza,Fernando Cavestany
6,Estadio de Mendizorroza,Vitoria-Gasteiz,Spain,19840,1924-01-01,2016-01-01,Natural Grass,"Av. de Cervantes, 28, 01007 Vitoria-Gasteiz, Álava, Spain",42.840300,-2.688900,false,,"Historic Basque stadium dating back to 1924, recently modernized while maintaining its traditional character. Known for strong local support in the Basque Country.","[""VIP Boxes"", ""Museum"", ""Youth Training Center""]",12,Mendizorroza,José María Basterra
7,Estadio Municipal de Ipurua,Eibar,Spain,8164,1947-01-01,2014-01-01,Natural Grass,"Untzaga Kalea, 47, 20600 Eibar, Gipuzkoa, Spain",43.203889,-2.472222,false,,"Small but iconic stadium in the Basque town of Eibar. Despite its modest size, it has hosted La Liga matches and is known for its incredible atmosphere.","[""Small VIP Area"", ""Press Room"", ""Basic Facilities""]",4,Ipurua,Municipal Design
8,Estadio Martínez Valero,Elche,Spain,33732,1976-01-01,2018-01-01,Natural Grass,"Av. del Estadio, s/n, 03202 Elche, Alicante, Spain",38.262222,-0.682222,false,,"Modern stadium opened in 1976, named after club president Martínez Valero. Features good facilities and has been recently renovated to maintain La Liga standards.","[""VIP Boxes"", ""Press Center"", ""Training Ground""]",18,Martínez Valero,Joaquín Ramos Hernández
9,RCDE Stadium,Barcelona,Spain,40500,2009-01-01,2009-01-01,Natural Grass,"Av. del Baix Llobregat, 100, 08940 Cornellà de Llobregat, Barcelona, Spain",41.347778,2.075556,false,,"Modern stadium opened in 2009, replacing the historic Sarrià. Features contemporary design and excellent facilities, located in the Barcelona metropolitan area.","[""VIP Areas"", ""Shopping Center"", ""Restaurant"", ""Museum""]",60,Cornellà-El Prat,Estudi PSP Arquitectura
10,Coliseum Alfonso Pérez,Getafe,Spain,17393,1998-01-01,2017-01-01,Natural Grass,"Av. Teresa de Calcuta, 2, 28903 Getafe, Madrid, Spain",40.325556,-3.714444,false,,"Modern stadium opened in 1998, home to Getafe CF. Known for its compact design and intense atmosphere, located in the Madrid metropolitan area.","[""VIP Boxes"", ""Press Room"", ""Training Facilities""]",25,Coliseum,Lamela Arquitectos
11,Estadi Montilivi,Girona,Spain,14624,1970-01-01,2017-01-01,Natural Grass,"Av. de Montilivi, 141, 17003 Girona, Spain",41.962222,2.829167,false,,"Traditional stadium dating from 1970, recently renovated to meet top-flight standards. Known for its intimate atmosphere and strong Catalan identity.","[""VIP Area"", ""Press Room"", ""Youth Academy""]",8,Montilivi,Municipal Design
12,Estadio Nuevo Los Cármenes,Granada,Spain,19336,1995-01-01,2019-01-01,Natural Grass,"C. Pintor Manuel Maldonado, s/n, 18007 Granada, Spain",37.161389,-3.606944,false,,"Modern stadium opened in 1995, located in the historic city of Granada. Features contemporary facilities with views of the Sierra Nevada mountains.","[""VIP Boxes"", ""Press Center"", ""Training Ground""]",15,Los Cármenes,Ayuntamiento de Granada
13,Estadio El Alcoraz,Huesca,Spain,7638,1972-01-01,2018-01-01,Natural Grass,"Av. del Parque, 1, 22005 Huesca, Spain",42.120833,-0.420556,false,,"Small stadium in the Aragonese city of Huesca, renovated for La Liga promotion. Despite its modest size, it provides an intimate and passionate atmosphere.","[""Basic VIP Area"", ""Press Room"", ""Small Training Area""]",3,El Alcoraz,Municipal Design
14,Estadio de Gran Canaria,Las Palmas de Gran Canaria,Spain,32400,2003-01-01,2017-01-01,Natural Grass,"C. Fondos de Segura, s/n, 35019 Las Palmas de Gran Canaria, Spain",28.099167,-15.453889,false,,"Modern stadium on the Canary Islands, opened in 2003. Features excellent facilities and a unique island location, home to UD Las Palmas.","[""VIP Areas"", ""Convention Center"", ""Shopping Area"", ""Museum""]",110,Gran Canaria,Alfredo Reiter
