Id,Name,City,Country,Capacity,BuiltDate,LastRenovation,SurfaceType,Address,Latitude,Longitude,HasRoof,ImageUrl,Description,Facilities,Architect,CostMillionsEuros,Nickname
4,Cívitas Metropolitano,Madrid,Spain,70460,2017-01-01,2017-01-01,Natural Grass,"Av. de Luis Aragonés, 4, 28022 Madrid, Spain",40.436111,-3.599444,f,,"Ultra-modern stadium opened in 2017, featuring cutting-edge design and technology. Home to Atlético Madrid with a distinctive red and white exterior matching the club colors.","[""Shopping Center"", ""Museum"", ""VIP Areas"", ""Underground Parking"", ""Hotel""]",Cruz y Ortiz Arquitectos,310,Wanda Metropolitano
12,Coliseum Alfonso Pérez,Getafe,Spain,17393,1998-01-01,2017-01-01,Natural Grass,"Av. Teresa de Calcuta, 2, 28903 Getafe, Madrid, Spain",40.325556,-3.714444,f,,"Modern stadium opened in 1998, home to Getafe CF. Known for its compact design and intense atmosphere, located in the Madrid metropolitan area.","[""VIP Boxes"", ""Press Room"", ""Training Facilities""]",Lamela Arquitectos,25,Coliseum
18,Estadi Ciutat de València,Valencia,Spain,26354,1969-01-01,2016-01-01,Natural Grass,"C. de San Vicente de Paúl, 44, 46019 Valencia, Spain",39.493889,-0.358611,f,,"Stadium in Valencia dating from 1969, home to Levante UD. Known as 'Ciutat de València' and features traditional Spanish stadium architecture.","[""VIP Areas"", ""Press Center"", ""Training Complex""]",Javier Goerlich,12,Ciutat de València
19,Estadi Mallorca Son Moix,Palma,Spain,23142,1999-01-01,2018-01-01,Natural Grass,"Cam. dels Reis, 8, 07011 Palma, Illes Balears, Spain",39.590556,2.630278,f,,"Modern stadium on the island of Mallorca, opened in 1999. Features contemporary design and excellent facilities, home to RCD Mallorca.","[""VIP Boxes"", ""Press Room"", ""Training Ground"", ""Youth Academy""]",Tomàs Forteza,35,Son Moix
13,Estadi Montilivi,Girona,Spain,14624,1970-01-01,2017-01-01,Natural Grass,"Av. de Montilivi, 141, 17003 Girona, Spain",41.962222,2.829167,f,,"Traditional stadium dating from 1970, recently renovated to meet top-flight standards. Known for its intimate atmosphere and strong Catalan identity.","[""VIP Area"", ""Press Room"", ""Youth Academy""]",Municipal Design,8,Montilivi
6,Estadio Balaídos,Vigo,Spain,29000,1928-01-01,2017-01-01,Natural Grass,"Rúa de Barcelona, s/n, 36207 Vigo, Pontevedra, Spain",42.213056,-8.738889,f,,"Historic stadium in Vigo, home to RC Celta since 1928. Known for its passionate Galician support and intimate atmosphere despite modest capacity.","[""VIP Boxes"", ""Press Room"", ""Training Facilities""]",Manuel del Río,15,Balaídos
24,Estadio Benito Villamarín,Sevilla,Spain,60721,1929-01-01,2020-01-01,Natural Grass,"Av. de Heliópolis, s/n, 41012 Sevilla, Spain",37.356389,-5.981667,f,,"Historic stadium dating from 1929, home to Real Betis. Known as 'Villamarín' and famous for its passionate Sevillian support and recent modernization.","[""VIP Areas"", ""Museum"", ""Press Center"", ""Training Complex"", ""Hotel""]",Aníbal González,80,Villamarín
16,Estadio de Gran Canaria,Las Palmas de Gran Canaria,Spain,32400,2003-01-01,2017-01-01,Natural Grass,"C. Fondos de Segura, s/n, 35019 Las Palmas de Gran Canaria, Spain",28.099167,-15.453889,f,,"Modern stadium on the Canary Islands, opened in 2003. Features excellent facilities and a unique island location, home to UD Las Palmas.","[""VIP Areas"", ""Convention Center"", ""Shopping Area"", ""Museum""]",Alfredo Reiter,110,Gran Canaria
31,Estadio de la Cerámica,Villarreal,Spain,23500,1923-01-01,2017-01-01,Natural Grass,"C. Blasco Ibáñez, 12, 12540 Villarreal, Castellón, Spain",39.944167,-0.103611,f,,"Stadium dating from 1923, known as 'El Madrigal' or 'Estadio de la Cerámica'. Home to Villarreal CF and famous for its 'Yellow Submarine' atmosphere.","[""VIP Areas"", ""Press Center"", ""Training Complex"", ""Youth Academy""]",Various renovations,30,El Madrigal
8,Estadio de Mendizorroza,Vitoria-Gasteiz,Spain,19840,1924-01-01,2016-01-01,Natural Grass,"Av. de Cervantes, 28, 01007 Vitoria-Gasteiz, Álava, Spain",42.840300,-2.688900,f,,"Historic Basque stadium dating back to 1924, recently modernized while maintaining its traditional character. Known for strong local support in the Basque Country.","[""VIP Boxes"", ""Museum"", ""Youth Training Center""]",José María Basterra,12,Mendizorroza
30,Estadio de Mestalla,Valencia,Spain,49430,1923-01-01,2019-01-01,Natural Grass,"Av. de Suècia, s/n, 46010 Valencia, Spain",39.474722,-0.358611,f,,"Legendary stadium dating from 1923, home to Valencia CF. Known as 'Mestalla' and famous for its incredible atmosphere and rich football history.","[""VIP Areas"", ""Museum"", ""Press Center"", ""Training Complex"", ""Youth Academy""]",Francisco Almenar Quinzá,55,Mestalla
23,Estadio de Vallecas,Madrid,Spain,14708,1976-01-01,2018-01-01,Natural Grass,"C. del Payaso Fofó, s/n, 28018 Madrid, Spain",40.391944,-3.659167,f,,"Traditional working-class stadium in Madrid's Vallecas neighborhood. Known for its passionate, left-wing fanbase and authentic football atmosphere.","[""Basic VIP Area"", ""Press Room"", ""Small Training Area""]",Luis Alemany,6,Campo de Fútbol de Vallecas
